Language Name	Glottocode	Specific Dialect	Offending segments	ReasonsForInclusion	Language Family	Macroarea
Kabardian	kaba1278	NA	d̻ ɡʷ ɡ̟ʲ ɦ	Voiced obs with no voiceless eq.	Abkhaz-Adyge	Eurasia
Ngan'gityemerri	nang1259	NA	z̺	Voiced obs with no voiceless eq.	Southern Daly	Australia
Sesotho	sout2807	NA	bz dz ʒ	Voiced obs with no voiceless eq.	NA	NA
Kabyle	kaby1243	NA	b ɣʷ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Ngiemboon	ngie1241	NA	b d ɡ	Has spirantizing plosives; Has both sonorous and voiceless allophone	Atlantic-Congo	Africa
Nganikurungkurr	nang1259	Daly River Area, Northern Territory	ɡ	Has spirantizing plosives	Southern Daly	Australia
KLAMATH	klam1254	NA	d ɡ ɢ	Voiced obs with no voiceless eq.	isolate	North America
Ngad''a; Ngadha'	ngad1261	NA	d̠ʒ	Voiced obs with no voiceless eq.	Austronesian	Papunesia
Sukuma	suku1261	NA	d ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Lunda	lund1266	NA	d	Has spirantizing plosives	Atlantic-Congo	Africa
Baba	baba1264	NA	d̠ʒ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Tulishi	tuli1249	Kamda	ɟː	Voiced obs with no voiceless eq.	Kadugli-Krongo	Africa
Telefol	tele1256	NA	b	Has spirantizing plosives	Nuclear Trans New Guinea	Papunesia
Eastern Mari	east2328	NA	ð̪̺	Voiced obs with no voiceless eq.	Uralic	Eurasia
Nishgha	nisg1240	NA	d̪ ɡ ɡʲ ɡʷ ɢ ɢ	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.	Tsimshian	North America
Tamazight Berber	cent2194	NA	ɣˀ	Voiced obs with no voiceless eq.	Afro-Asiatic	Africa
Saanich	saan1246	NA	k̰ʷ q̰ʷ ts̰ t̠ʃ̰	Voiced obs with no voiceless eq.	Salishan	North America
Tapiete	tapi1253	NA	d̠ʒ	Has spirantizing plosives	Tupian	South America
Ejagham	ejag1239	NA	b d ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Dagbani	dagb1246	NA	ɡ	Has spirantizing plosives	Atlantic-Congo	Africa
Kolyma Yukaghir	sout2750	NA	ʁ	Voiced obs with no voiceless eq.	Yukaghir	Eurasia
