Name	Code	Family	Area
Yindjibarndi	yind1247	Pama-Nyungan	Australia
Yine	yine1238	Arawakan	South America
Yinggarda	ying1247	Pama-Nyungan	Australia
Yintyinka-Ayabadhu	ayab1239	Pama-Nyungan	Australia
Yinwum	yinw1236	Pama-Nyungan	Australia
Yir-Yoront	yiry1245	Pama-Nyungan	Australia
Yitha Yitha	yith1234	Pama-Nyungan	Australia
Yom	yomm1242	Atlantic-Congo	Africa
Yongning Na	yong1270	Sino-Tibetan	Eurasia
Yora	yora1241	Pano-Tacanan	South America
Yorta Yorta	yort1237	Pama-Nyungan	Australia
Yoruba	yoru1245	Atlantic-Congo	Africa
Yucatec Maya	yuca1254	Mayan	North America
Yuchi	yuch1247	isolate	North America
Yucuna	yucu1253	Arawakan	South America
Yue Chinese	yuec1235	Sino-Tibetan	Eurasia
Yugambal	yuga1244	Pama-Nyungan	Australia
Yugumbir	yugu1249	Pama-Nyungan	Australia
Yuhup	yuhu1238	Nadahup	South America
Yuki	yuki1243	Yuki-Wappo	North America
Yukpa	yukp1241	Cariban	South America
Yulparija	yulp1239	Pama-Nyungan	Australia
Yulu	yulu1243	Central Sudanic	Africa
Yuqui	yuqu1240	Tupian	South America
Yuracaré	yura1255	isolate	South America
Yurok	yuro1248	Algic	North America
Yurutí	yuru1263	Tucanoan	South America
Yuwaalaraay	yuwa1242	Pama-Nyungan	Australia
Yuwaalaraay-Gamilaraay	gami1243	Pama-Nyungan	Australia
Yuwaalayaay	yuwa1243	Pama-Nyungan	Australia
Zaiwa	zaiw1241	Sino-Tibetan	Eurasia
Zande	zand1248	Atlantic-Congo	Africa
Záparo	zapa1253	Zaparoan	South America
Zarma-Kaado	zarm1239	Songhay	Africa
Zay	zayy1238	Afro-Asiatic	Africa
Zayse	zays1236	Ta-Ne-Omotic	Africa
Zhenkang Wa	nucl1290	Austroasiatic	Eurasia
Zhongu	zhon1235	Sino-Tibetan	Eurasia
Zimbabwean Ndebele	nort2795	Atlantic-Congo	Africa
Zinza	zinz1238	Atlantic-Congo	Africa
Zo'é	zoee1240	Tupian	South America
Zoogocho Zapotec	zoog1238	Otomanguean	North America
Zulgo-Gemzek	zulg1242	Afro-Asiatic	Africa
Zulu	zulu1248	Atlantic-Congo	Africa
Zuni	zuni1245	isolate	North America
modernaramaicnortheastern	modernaramaicnortheastern	isolate	
djindewal	djindewal	isolate	
